                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1631,                 2.1833,                 1.1919,                 1.1279,                0.53078,                0.54441,                0.48795,                0.32876,                 0.5304,                0.53683,                0.47833,                0.28566,                 1.0784,                 2.0001,                   1.07,                 1.0909,              0.0096832,              0.0096832,              0.0096832
                     50,                 1.1586,                 2.1781,                 1.1904,                 1.1254,                0.52891,                0.54677,                0.48825,                0.32917,                0.52892,                 0.5377,                0.47853,                 0.2857,                  1.078,                 1.9998,                 1.0695,                 1.0906,              0.0096766,              0.0096766,              0.0096766
                     51,                 1.1636,                 2.1901,                 1.1955,                 1.1265,                0.52943,                0.54716,                0.48833,                0.32917,                0.52975,                0.53875,                0.47881,                0.28599,                 1.0779,                 1.9992,                 1.0691,                 1.0904,                0.00967,                0.00967,                0.00967
                     52,                 1.1595,                 2.1755,                 1.1893,                 1.1253,                 0.5301,                0.54695,                0.48861,                 0.3294,                  0.529,                0.53972,                0.47875,                0.28605,                 1.0777,                 1.9987,                 1.0687,                 1.0902,              0.0096634,              0.0096634,              0.0096634
                     53,                 1.1583,                 2.1723,                  1.187,                  1.124,                0.53095,                0.54683,                0.48878,                0.32954,                0.52903,                0.54092,                0.47891,                0.28625,                 1.0773,                 1.9981,                 1.0683,                 1.0899,              0.0096568,              0.0096568,              0.0096568
                     54,                 1.1586,                 2.1772,                 1.1879,                 1.1253,                0.53002,                0.54837,                0.48905,                0.32966,                0.52981,                0.53934,                0.47913,                0.28636,                 1.0771,                 1.9975,                 1.0679,                 1.0897,              0.0096502,              0.0096502,              0.0096502
                     55,                 1.1592,                 2.1742,                 1.1912,                 1.1257,                 0.5304,                0.54654,                0.48927,                0.32989,                0.53028,                 0.5377,                0.47937,                0.28649,                 1.0769,                  1.997,                 1.0675,                 1.0895,              0.0096436,              0.0096436,              0.0096436
                     56,                 1.1575,                 2.1731,                 1.1863,                 1.1237,                 0.5308,                0.54631,                0.48966,                0.33012,                0.53056,                0.53756,                0.47971,                0.28667,                 1.0768,                 1.9965,                  1.067,                 1.0894,               0.009637,               0.009637,               0.009637
                     57,                 1.1553,                 2.1702,                 1.1842,                 1.1236,                0.53208,                0.54604,                0.48993,                0.33032,                0.53118,                0.53718,                0.48014,                0.28695,                 1.0766,                  1.996,                 1.0666,                 1.0892,              0.0096304,              0.0096304,              0.0096304
                     58,                 1.1576,                 2.1743,                  1.185,                 1.1236,                0.53247,                0.54589,                0.49017,                0.33061,                0.53177,                0.53701,                0.48032,                0.28712,                 1.0762,                 1.9953,                 1.0661,                 1.0889,              0.0096238,              0.0096238,              0.0096238
                     59,                 1.1523,                  2.162,                 1.1819,                 1.1226,                0.53283,                0.54547,                0.49036,                0.33073,                0.53143,                0.53621,                0.48037,                0.28734,                  1.076,                 1.9948,                 1.0655,                 1.0888,              0.0096172,              0.0096172,              0.0096172
                     60,                 1.1582,                 2.1734,                 1.1878,                 1.1244,                0.53352,                0.54484,                 0.4906,                0.33106,                0.53086,                0.53827,                0.48051,                 0.2877,                 1.0757,                 1.9942,                  1.065,                 1.0886,              0.0096106,              0.0096106,              0.0096106
                     61,                 1.1522,                 2.1663,                 1.1822,                 1.1212,                0.53271,                0.54601,                0.49069,                0.33128,                0.53241,                0.53873,                0.48085,                0.28793,                 1.0754,                 1.9938,                 1.0646,                 1.0883,               0.009604,               0.009604,               0.009604
                     62,                 1.1551,                 2.1764,                 1.1821,                 1.1233,                0.53442,                0.54635,                0.49106,                0.33137,                0.53332,                0.53797,                0.48106,                0.28791,                 1.0753,                 1.9934,                 1.0642,                 1.0882,              0.0095974,              0.0095974,              0.0095974
                     63,                  1.151,                 2.1642,                 1.1784,                 1.1202,                0.53418,                0.54754,                0.49119,                0.33157,                0.53338,                0.53825,                0.48126,                0.28805,                 1.0751,                 1.9932,                 1.0637,                  1.088,              0.0095908,              0.0095908,              0.0095908
                     64,                 1.1538,                 2.1696,                 1.1808,                 1.1235,                0.53459,                 0.5477,                0.49138,                0.33168,                0.53346,                0.53809,                0.48153,                0.28821,                  1.075,                 1.9926,                 1.0633,                 1.0878,              0.0095842,              0.0095842,              0.0095842
                     65,                 1.1568,                 2.1677,                 1.1842,                 1.1225,                0.53551,                0.54756,                0.49161,                0.33189,                0.53505,                0.53857,                0.48161,                0.28842,                 1.0748,                 1.9922,                 1.0628,                 1.0877,              0.0095776,              0.0095776,              0.0095776
                     66,                  1.155,                 2.1657,                 1.1836,                 1.1235,                0.53407,                0.54982,                0.49187,                0.33197,                0.53467,                0.53942,                0.48181,                0.28856,                 1.0747,                 1.9918,                 1.0623,                 1.0876,               0.009571,               0.009571,               0.009571
                     67,                 1.1533,                 2.1651,                 1.1782,                 1.1214,                 0.5346,                0.54896,                0.49189,                0.33209,                0.53395,                0.53997,                0.48193,                0.28863,                 1.0745,                 1.9914,                 1.0619,                 1.0875,              0.0095644,              0.0095644,              0.0095644
                     68,                 1.1523,                 2.1675,                 1.1785,                 1.1209,                0.53442,                0.54859,                0.49221,                0.33228,                 0.5326,                0.54083,                0.48217,                0.28889,                 1.0743,                 1.9912,                 1.0616,                 1.0872,              0.0095578,              0.0095578,              0.0095578
                     69,                 1.1549,                 2.1699,                 1.1785,                 1.1207,                0.53399,                0.54827,                0.49235,                0.33236,                0.53248,                0.54047,                0.48231,                0.28885,                 1.0742,                 1.9907,                 1.0613,                 1.0871,              0.0095512,              0.0095512,              0.0095512
                     70,                 1.1496,                 2.1559,                 1.1771,                 1.1209,                0.53421,                0.54789,                0.49243,                 0.3325,                0.53466,                0.53903,                0.48247,                0.28888,                 1.0739,                 1.9905,                  1.061,                 1.0869,              0.0095446,              0.0095446,              0.0095446
                     71,                 1.1489,                 2.1567,                 1.1786,                 1.1214,                0.53547,                0.54804,                0.49274,                0.33271,                0.53339,                0.53999,                 0.4826,                0.28904,                 1.0737,                 1.9901,                 1.0606,                 1.0866,               0.009538,               0.009538,               0.009538
                     72,                 1.1549,                 2.1692,                 1.1755,                 1.1231,                0.53566,                0.54808,                 0.4927,                0.33265,                0.53379,                0.54047,                0.48259,                 0.2891,                 1.0735,                 1.9895,                 1.0602,                 1.0865,              0.0095314,              0.0095314,              0.0095314
                     73,                 1.1489,                 2.1589,                 1.1747,                 1.1202,                0.53646,                0.54794,                0.49286,                0.33296,                0.53451,                0.53995,                0.48274,                0.28919,                 1.0734,                 1.9891,                 1.0599,                 1.0863,              0.0095248,              0.0095248,              0.0095248
                     74,                 1.1454,                 2.1471,                 1.1695,                 1.1197,                0.53664,                0.54733,                0.49306,                 0.3332,                0.53474,                0.53959,                0.48316,                 0.2895,                 1.0733,                 1.9887,                 1.0593,                 1.0863,              0.0095182,              0.0095182,              0.0095182
                     75,                 1.1507,                 2.1626,                 1.1776,                 1.1196,                0.53563,                 0.5487,                0.49323,                0.33329,                0.53448,                0.54038,                0.48323,                0.28946,                 1.0732,                 1.9886,                  1.059,                 1.0861,              0.0095116,              0.0095116,              0.0095116
                     76,                 1.1535,                 2.1637,                 1.1779,                 1.1211,                0.53557,                 0.5501,                0.49344,                0.33337,                0.53293,                0.54237,                0.48351,                0.28968,                 1.0731,                 1.9881,                 1.0588,                 1.0859,               0.009505,               0.009505,               0.009505
                     77,                 1.1502,                 2.1613,                   1.18,                 1.1201,                0.53616,                0.54892,                0.49342,                0.33332,                 0.5343,                0.54132,                0.48351,                0.28985,                  1.073,                 1.9877,                 1.0584,                 1.0859,              0.0094984,              0.0094984,              0.0094984
                     78,                 1.1509,                 2.1546,                 1.1712,                 1.1191,                0.53535,                0.55045,                0.49359,                0.33343,                0.53409,                0.54252,                0.48372,                 0.2901,                  1.073,                 1.9876,                 1.0581,                 1.0858,              0.0094918,              0.0094918,              0.0094918
                     79,                 1.1505,                 2.1618,                 1.1728,                   1.12,                0.53647,                0.54984,                0.49391,                0.33367,                0.53462,                0.54059,                 0.4839,                 0.2904,                 1.0728,                 1.9871,                 1.0576,                 1.0856,              0.0094852,              0.0094852,              0.0094852
                     80,                 1.1513,                  2.158,                 1.1718,                 1.1196,                0.53567,                0.54914,                0.49397,                0.33383,                0.53459,                0.54018,                0.48388,                0.29036,                 1.0729,                 1.9866,                 1.0573,                 1.0856,              0.0094786,              0.0094786,              0.0094786
                     81,                 1.1508,                 2.1638,                 1.1758,                 1.1215,                0.53678,                0.54942,                0.49446,                0.33399,                 0.5355,                   0.54,                0.48408,                0.29056,                 1.0728,                 1.9865,                  1.057,                 1.0854,               0.009472,               0.009472,               0.009472
                     82,                 1.1545,                  2.166,                 1.1731,                 1.1188,                 0.5367,                0.54937,                0.49456,                 0.3341,                0.53691,                 0.5402,                0.48425,                0.29062,                 1.0726,                 1.9863,                 1.0568,                 1.0852,              0.0094654,              0.0094654,              0.0094654
                     83,                 1.1529,                 2.1615,                 1.1773,                 1.1202,                0.53604,                0.55028,                0.49467,                0.33422,                0.53549,                0.54096,                0.48438,                0.29089,                 1.0725,                  1.986,                 1.0564,                  1.085,              0.0094588,              0.0094588,              0.0094588
                     84,                 1.1524,                 2.1592,                 1.1733,                 1.1201,                0.53606,                0.55034,                0.49481,                0.33433,                0.53728,                 0.5388,                0.48451,                0.29099,                 1.0724,                 1.9854,                 1.0559,                 1.0849,              0.0094522,              0.0094522,              0.0094522
                     85,                   1.15,                 2.1573,                 1.1722,                 1.1197,                0.53632,                0.55005,                0.49505,                0.33439,                0.53836,                0.53743,                0.48476,                0.29113,                 1.0724,                 1.9853,                 1.0556,                 1.0847,              0.0094456,              0.0094456,              0.0094456
                     86,                 1.1478,                 2.1561,                 1.1713,                 1.1188,                0.53643,                0.55016,                0.49532,                0.33446,                0.53904,                0.53764,                0.48505,                0.29115,                 1.0723,                 1.9849,                 1.0552,                 1.0847,               0.009439,               0.009439,               0.009439
                     87,                 1.1484,                 2.1527,                 1.1722,                  1.117,                 0.5377,                 0.5489,                 0.4954,                0.33467,                0.53807,                0.53969,                0.48501,                0.29118,                 1.0722,                 1.9849,                 1.0549,                 1.0845,              0.0094324,              0.0094324,              0.0094324
                     88,                 1.1476,                 2.1518,                 1.1687,                 1.1177,                0.53838,                0.54812,                 0.4956,                0.33495,                0.53709,                0.54026,                0.48517,                0.29127,                  1.072,                 1.9845,                 1.0546,                 1.0844,              0.0094258,              0.0094258,              0.0094258
                     89,                 1.1497,                 2.1566,                 1.1729,                 1.1192,                0.53705,                0.54943,                0.49569,                0.33508,                0.53777,                0.54034,                0.48558,                0.29148,                 1.0718,                 1.9844,                 1.0542,                 1.0842,              0.0094192,              0.0094192,              0.0094192
                     90,                 1.1503,                 2.1577,                  1.169,                 1.1177,                 0.5382,                0.54786,                0.49582,                0.33519,                0.53734,                0.53981,                0.48551,                0.29159,                 1.0715,                 1.9841,                 1.0536,                 1.0841,              0.0094126,              0.0094126,              0.0094126
                     91,                  1.146,                 2.1499,                 1.1686,                 1.1167,                0.53609,                0.54946,                0.49582,                0.33533,                 0.5376,                0.53998,                0.48579,                 0.2918,                 1.0713,                 1.9838,                 1.0534,                  1.084,               0.009406,               0.009406,               0.009406
                     92,                 1.1469,                 2.1517,                 1.1683,                 1.1174,                0.53789,                0.54913,                0.49607,                0.33555,                0.53848,                0.54033,                0.48602,                0.29194,                 1.0711,                 1.9834,                 1.0531,                 1.0838,              0.0093994,              0.0093994,              0.0093994
                     93,                 1.1441,                 2.1481,                 1.1703,                 1.1176,                0.53768,                0.55002,                0.49613,                0.33567,                0.53858,                0.54033,                0.48608,                0.29196,                 1.0709,                 1.9834,                 1.0527,                 1.0837,              0.0093928,              0.0093928,              0.0093928
